Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Comment,Status Category
send button not working in mail,UN-68,10067,Bug,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,17/Feb/22 11:02 AM,18/Feb/22 4:21 PM,18/Feb/22 4:20 PM,,,0,,"Send button is not working in mail

*Steps to Reproduce;*

""1.Navigate to the uniform website
2.Click on Mail tab
3.Verify send button

*expected result:*

mail to be sent

*actual result:*

mail is not sent or no action on clicking send button

ss:

!image-20220217-061828.png|width=1268,height=645!",QA,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,,,,,,,,,UN-10,,,,,UN-64,,,,,,,17/Feb/22 11:48 AM;ug:43ca94b9-9dfb-4f05-acbb-b0b584259582;image-20220217-061828.png;https://ibmhaldia5.atlassian.net/secure/attachment/10004/image-20220217-061828.png,,,,,,,,{},,,,0|i000a7:,,,,,Sprint 1,,,,,,,,,To Do
entering correct details in database but not showing results,UN-67,10066,Bug,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,16/Feb/22 3:47 PM,18/Feb/22 4:20 PM,18/Feb/22 4:40 PM,,,0,,"ENTERING THE ORDER DETAILS EVERYTHING FROM THE DATABASE STILL THERE IS NO RESULT

*STEPS TO REPRODUCE:*

1.Navigate to the uniform website
2.Click on Orders tab
3.enter correct details

4. click filter button

*EXPECTED RESULT*:THE ORDE DETAILS OF THE ENTERED ORDER ID

*ACTUAL RESULT*:NO RESULTS

SS OF THE DATA BASE:

!image-20220216-102212.png|width=876,height=367!

SS OF THE RESULT:

!image-20220216-102429.png|width=1247,height=407!",,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,,,,,,,,,UN-7,,,,,UN-66,,,,,,,16/Feb/22 3:54 PM;ug:43ca94b9-9dfb-4f05-acbb-b0b584259582;image-20220216-102212.png;https://ibmhaldia5.atlassian.net/secure/attachment/10002/image-20220216-102212.png,16/Feb/22 3:54 PM;ug:43ca94b9-9dfb-4f05-acbb-b0b584259582;image-20220216-102429.png;https://ibmhaldia5.atlassian.net/secure/attachment/10001/image-20220216-102429.png,,,,,,,{},,,,0|i0009r:,,,,,Sprint 1,,,,,,,,,To Do
verify wether the correct details shows the order or not,UN-66,10065,Test,In Progress,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,16/Feb/22 3:42 PM,16/Feb/22 5:00 PM,17/Feb/22 12:41 PM,,,0,,*Entering the details from the database it  must show result of the order*,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzz3:,,,,,Sprint 1,,,,,,,,,In Progress
verify cancel  button,UN-65,10064,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:39 PM,17/Feb/22 11:50 AM,21/Feb/22 9:57 AM,,,0,,cancel button should cancel the mail,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzzt,,,,,Sprint 1,,,,,,,,,Done
verify send button,UN-64,10063,Test,In Progress,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:39 PM,17/Feb/22 12:42 PM,17/Feb/22 3:46 PM,,,0,,send button shoul send the mail,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UN-57,UN-56,UN-58,UN-63,UN-59,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzzv,,,,,Sprint 1,,,,,,,,,In Progress
verify message with not more than 100 characters,UN-63,10062,Test,Blocked,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:39 PM,17/Feb/22 12:39 PM,21/Feb/22 9:57 AM,,,0,,verify message with not more than 100 characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzzr,,,,,Sprint 1,,,,,,,,,In Progress
verify insert video button on message field,UN-62,10061,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:39 PM,17/Feb/22 11:51 AM,21/Feb/22 9:57 AM,,,0,,verify insert video button on message field,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzzi,,,,,Sprint 1,,,,,,,,,Done
verify weather features on top of message works or not,UN-61,10060,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:39 PM,17/Feb/22 11:50 AM,21/Feb/22 9:57 AM,,,0,,all features in messages must work,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzzm,,,,,Sprint 1,,,,,,,,,Done
verify subject field with specialcharacters values,UN-60,10059,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:39 PM,17/Feb/22 11:51 AM,21/Feb/22 9:57 AM,,,0,,"subject field can take alphabetic,numeric,alphanumeric,special characters",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzy,,,,,Sprint 1,,,,,,,,,Done
verify subject field with alphanumeric values,UN-59,10058,Test,Blocked,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:39 PM,17/Feb/22 12:39 PM,18/Feb/22 4:38 PM,,,0,,"subject field can take alphabetic,numeric,alphanumeric,special characters",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zz9,,,,,Sprint 1,,,,,,,,,In Progress
verify subject field with numeric values,UN-58,10057,Test,Blocked,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:39 PM,17/Feb/22 12:39 PM,21/Feb/22 9:57 AM,,,0,,"subject field can take alphabetic,numeric,alphanumeric,special characters",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzx,,,,,Sprint 1,,,,,,,,,In Progress
verify subject field with alphabetic values,UN-57,10056,Test,Blocked,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,17/Feb/22 12:39 PM,21/Feb/22 9:57 AM,,,0,,"subject field can take alphabetic,numeric,alphanumeric,special characters",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzv,,,,,Sprint 1,,,,,,,,,In Progress
verify mandatory field is not empty,UN-56,10055,Test,Blocked,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,17/Feb/22 12:39 PM,21/Feb/22 9:57 AM,,,0,,mandatory field must be filled,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzo,,,,,Sprint 1,,,,,,,,,In Progress
verify mandatory field with astrick*,UN-55,10054,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,17/Feb/22 10:42 AM,16/Feb/22 3:10 PM,,,0,,mandatory field must have astrick*,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzm,,,,,Sprint 1,,,,,,,,,Done
very To field has dropdown menu,UN-54,10053,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,17/Feb/22 11:50 AM,21/Feb/22 9:57 AM,,,0,,To field must have dropdown menu as per the requirement,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzr,,,,,Sprint 1,,,,,,,,,Done
verify from field has default input,UN-53,10052,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,17/Feb/22 10:41 AM,21/Feb/22 9:57 AM,,,0,,from should have a default email,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zzi,,,,,Sprint 1,,,,,,,,,Done
verify textbox for every label,UN-52,10051,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,17/Feb/22 10:41 AM,21/Feb/22 9:57 AM,,,0,,textbox to be present beside every label,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zz,,,,,Sprint 1,,,,,,,,,Done
verify mail has following labels,UN-51,10050,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,17/Feb/22 10:41 AM,17/Feb/22 10:12 AM,,,0,,"verify following labels
from,to,subject and message",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-10,,,,,,,,,,,,,,,{},,,,0|i0001a:zy,,,,,Sprint 1,,,,,,,,,Done
verify continue button,UN-50,10049,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,verify continue button which would take us to the another part to be edited,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0009j:,,,,,,,,,,,,,,To Do
verify customer group has dropdown menu,UN-49,10048,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,verify customer group has dropdown menu as per the requirement,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0009b:,,,,,,,,,,,,,,To Do
verify store & currency has default input,UN-48,10047,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,verify store & currency has default input,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00093:,,,,,,,,,,,,,,To Do
verify telephone no. has 10 digits,UN-47,10046,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,verify telephone no.,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0008v:,,,,,,,,,,,,,,To Do
verifyfy email id format in cd,UN-46,10045,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,verifyfy email id format in cd,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0008n:,,,,,,,,,,,,,,To Do
"veriy customer,first name and last name with alphabetic value",UN-45,10044,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,"customer,first name and last name with alphabetic value",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0008f:,,,,,,,,,,,,,,To Do
verify mandatory field with empty space,UN-44,10043,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,inside customer details to be edited mandatory fields should not be empty,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00087:,,,,,,,,,,,,,,To Do
verify mandatory field are marked with astrick*,UN-43,10042,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,inside customer details to be edited mandatory fields should be marked wit astrick,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0007z:,,,,,,,,,,,,,,To Do
verify there is textbox beside eac label of customer details,UN-42,10041,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,textbox to be present,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0007r:,,,,,,,,,,,,,,To Do
"verify following labels Store,currency,Customer,Customer Group,First name,lastname,email,phone no.,fax and continue button",UN-41,10040,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,"customer details form should have the following labels Store,currency,Customer,Customer Group,First name,lastname,email,phone no.,fax and continue button",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0007j:,,,,,,,,,,,,,,To Do
