Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Comment,Status Category
verify wether thecustomer details form can be edited,UN-40,10039,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,verify wether thecustomer details form can be edited,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0007b:,,,,,,,,,,,,,,To Do
verify edit button,UN-39,10038,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,edit button should allow us to edit the customer details,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00073:,,,,,,,,,,,,,,To Do
verify add history button,UN-38,10037,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 3:00 PM,21/Feb/22 9:57 AM,,,0,,add history button should add the add order history form,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0006j:,,,,,,,,,,,,,,To Do
verify add order history form after viewing a certain order details,UN-37,10036,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,"order history form should contain 
order status ,override,notify customer,comment.add hoistory button",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0006n:,,,,,,,,,,,,,,To Do
verify view button,UN-36,10035,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:54 PM,16/Feb/22 4:39 PM,,,0,,clicking view button should show entire details of the order,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-7,,,,,,,,,,,,,,,{},,,,0|i0009z:,,,,,Sprint 1,,,,,,,,,Done
"very order shown has view,edit and delete button on R.H.S",UN-35,10034,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:54 PM,16/Feb/22 4:18 PM,,,0,,"very order shown has view,edit and delete button on R.H.S
for various activities",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-7,,,,,,,,,,,,,,,{},,,,0|i0001a:zx,,,,,Sprint 1,,,,,,,,,Done
verify customer field with alphanumeric values,UN-34,10033,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:54 PM,16/Feb/22 4:35 PM,,,0,,customer field accepts only albhabetic value,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-7,,,,,,,,,,,,,,,{},,,,0|i0001a:zv,,,,,Sprint 1,,,,,,,,,Done
verify customer field with special characters,UN-33,10032,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,17/Feb/22 12:24 PM,16/Feb/22 4:17 PM,,,0,,customer field accepts only albhabetic value,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-7,,,,,,,,,,,,,,,{},,,,0|i0001a:zr,,,,,Sprint 1,,,,,,,,,Done
verify customer field with numeric values,UN-32,10031,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:54 PM,16/Feb/22 4:16 PM,,,0,,customer field accepts only albhabetic value,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-7,,,,,,,,,,,,,,,{},,,,0|i0001a:zi,,,,,Sprint 1,,,,,,,,,Done
verify customer field with alphabetic values,UN-31,10030,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:54 PM,17/Feb/22 12:02 PM,,,0,,customer field accepts only albhabetic value,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-7,,,,,,,,,,,,,,,{},,,,0|i0001a:z,,,,,Sprint 1,,,,,,,,,Done
verify orderid and total with alphanumeric,UN-30,10029,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:54 PM,16/Feb/22 4:09 PM,,,0,,order id and total onlu accepts numeric values,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-7,,,,,,,,,,,,,,,{},,,,0|i0001a:y,,,,,Sprint 1,,,,,,,,,Done
verify orderid and total with  special characters,UN-29,10028,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:54 PM,16/Feb/22 4:52 PM,,,0,,order id and total onlu accepts numeric values,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-7,,,,,,,,,,,,,,,{},,,,0|i0001a:w,,,,,Sprint 1,,,,,,,,,Done
verify orderid and total with alphabetic values,UN-28,10027,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:54 PM,16/Feb/22 3:34 PM,,,0,,order id and total onlu accepts numeric values,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-7,,,,,,,,,,,,,,,{},,,,0|i0001a:x,,,,,Sprint 1,,,,,,,,,Done
verify orderid and total with numeric values,UN-27,10026,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:54 PM,17/Feb/22 12:01 PM,,,0,,order id and total onlu accepts numeric values,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-7,,,,,,,,,,,,,,,{},,,,0|i0001a:v,,,,,Sprint 1,,,,,,,,,Done
verify name suggestion on customer field,UN-26,10025,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:50 PM,16/Feb/22 4:49 PM,,,0,,verify name suggestion on customer field from the database,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0001a:o,,,,,Sprint 1,,,,,,,,,Done
verify filter button,UN-25,10024,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:49 PM,16/Feb/22 4:49 PM,,,0,,verify filter button,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0001a:m,,,,,Sprint 1,,,,,,,,,Done
verify calendar,UN-24,10023,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:51 PM,16/Feb/22 4:50 PM,,,0,,verify calendar in date added and date modified label,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0001a:r,,,,,Sprint 1,,,,,,,,,Done
verify dropdown menu in order status,UN-23,10022,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:48 PM,16/Feb/22 4:48 PM,,,0,,verify dropdown menu in order status as per requirement,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0001a:i,,,,,Sprint 1,,,,,,,,,Done
verify textbox below every label,UN-22,10021,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:47 PM,16/Feb/22 4:47 PM,,,0,,verify textbox below every label,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0001a:,,,,,Sprint 1,,,,,,,,,Done
verify the following labels,UN-21,10020,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:47 PM,16/Feb/22 4:46 PM,,,0,,"verify the following labels:
order id,order status,date added,
Customer,Total and Datemodified",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00019:,,,,,Sprint 1,,,,,,,,,Done
textbox not present below customer label,UN-20,10019,Bug,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,16/Feb/22 10:21 AM,16/Feb/22 10:21 AM,16/Feb/22 10:21 AM,,,0,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,,,,,,,,,,,,,,UN-19,,,,,,,,,,,,,,,{},,,,0|i0002v:,,,,,,,,,,,,,,To Do
verify textbox below every label,UN-19,10018,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 4:57 PM,16/Feb/22 10:21 AM,21/Feb/22 9:57 AM,,,0,,verify textbox below every label,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0002n:,,,,,,,,,,,,,,To Do
verify the following labels,UN-18,10017,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 4:57 PM,15/Feb/22 4:57 PM,15/Feb/22 4:58 PM,,,0,,"verify the following labels:
order id,order status,date added,
Customer,Total and Datemodified",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0002f:,,,,,,,,,,,,,,To Do
verify textbox below every label,UN-17,10016,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 4:46 PM,15/Feb/22 4:46 PM,16/Feb/22 4:39 PM,,,0,,verify textbox below every label,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00027:,,,,,,,,,,,,,,To Do
As an admin want to mail a video about products to customers,UN-11,10010,Story,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,15/Feb/22 2:20 PM,15/Feb/22 3:00 PM,15/Feb/22 3:21 PM,,,0,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0001z:,,,,,,,,,,,,,,To Do
As an admin i want to mail all customers regarding discounts,UN-10,10009,Story,In Progress,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,15/Feb/22 2:17 PM,17/Feb/22 12:24 PM,17/Feb/22 11:51 AM,,,0,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00017:,,,,,Sprint 1,,,,,,,,,In Progress
As an admin i want to add order history of an order,UN-9,10008,Story,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,15/Feb/22 2:13 PM,15/Feb/22 2:59 PM,15/Feb/22 2:59 PM,,,0,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0001j:,,,,,,,,,,,,,,To Do
As an admin i want to edit customer details of an order ,UN-8,10007,Story,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,15/Feb/22 2:12 PM,15/Feb/22 2:59 PM,15/Feb/22 2:58 PM,,,0,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0001b:,,,,,,,,,,,,,,To Do
As an admin i want to see order of a specific order id,UN-7,10006,Story,In Progress,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,15/Feb/22 2:08 PM,17/Feb/22 12:24 PM,17/Feb/22 12:38 PM,,,0,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,,,,,,,,,,,,,,UN-66,UN-21,UN-22,UN-23,UN-25,UN-26,UN-24,,,,,,,,,{},,,,0|i00013:,,,,,Sprint 1,,,,,,,,,In Progress
comment button not working,UN-6,10005,Bug,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,15/Feb/22 12:57 PM,16/Feb/22 11:10 AM,16/Feb/22 4:40 PM,,,0,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,,,,,,,,,UN-3,,,,,,,,,,,,,,,,,,,,{},,,,0|i00003:,,,,,,,,,,,,,,To Do
login button not working,UN-5,10004,Bug,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,15/Feb/22 12:40 PM,16/Feb/22 11:10 AM,15/Feb/22 2:16 PM,,,0,,"Login button is not working

Steps To Reproduce
Navigate to the application
enter valid user name and password
click on Login button
Expected Result
User should be navigated to the Dashboard

Actual Result
Login button is not working

Screenshot


!image-20220215-071433.png|width=399,height=554!",QA,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,,,,,,,,,UN-1,,,,,,,,,,,,15/Feb/22 12:46 PM;ug:43ca94b9-9dfb-4f05-acbb-b0b584259582;image-20220215-071433.png;https://ibmhaldia5.atlassian.net/secure/attachment/10000/image-20220215-071433.png,,,,,,,,{},,,,0|hzzzzz:,,,,,,,,,,,,,,To Do
as a user i want to share reaction on a video,UN-4,10003,Story,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,15/Feb/22 11:40 AM,15/Feb/22 11:40 AM,21/Feb/22 9:57 AM,,,0,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0000n:,,,,,,,,,,,,,,To Do
as a user i want to comment on a photo,UN-3,10002,Story,Blocked,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,15/Feb/22 11:40 AM,16/Feb/22 11:10 AM,16/Feb/22 10:26 AM,,,0,photo,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,;15/Feb/22 12:21 PM;ug:43ca94b9-9dfb-4f05-acbb-b0b584259582;18000,36000,18000,18000,50%,36000,18000,18000,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzj:,,,,,,,5.0,,,,,,,In Progress
As a user i want to search friends profile,UN-2,10001,Story,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,15/Feb/22 11:38 AM,15/Feb/22 11:38 AM,21/Feb/22 9:57 AM,,,0,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00007:,,,,,,,,,,,,,,To Do
As a user i want to login using valid credentials,UN-1,10000,Story,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,15/Feb/22 11:34 AM,16/Feb/22 11:10 AM,16/Feb/22 10:25 AM,,,0,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,288000,288000,,0%,288000,288000,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzb:,,,,,,,,,,,,,15/Feb/22 11:37 AM;620b32e9bba9ca0070c9f7e1;h6. [~accountid:620b32e9bba9ca0070c9f7e1] please provide description,To Do
